employer_id,employer_name,industry,sub_industry,company_size_band,hq_city,hq_state,hq_country,website_url,linkedin_url,is_faang_company,is_non_profit,slu_partnership_type,slu_partnership_level,slu_partnership_status,slu_partnership_start_date,primary_contact_name,primary_contact_title,primary_contact_email,primary_contact_phone
403fdaa5-9274-4804-9525-903ee35f51d4,Employer 0001,Consulting,IT Services,Medium,Dallas,TX,USA,https://www.example1.com,https://www.linkedin.com/company/example-1,0,0,Academic,Silver,Prospect,2023-05-12,Jennifer Morris,Recruiter,contact1@example.com,+14976801717
8ef3615a-2c59-4637-ba3d-cafcbc618d11,Employer 0002,Technology,Cloud/Software,Medium,Chicago,IL,USA,https://www.example2.com,https://www.linkedin.com/company/example-2,0,0,Sponsorship,Bronze,Active,2025-01-27,Mark Armstrong,Recruiter,contact2@example.com,+15195125996
735076fa-528c-4249-875a-7244dd8bee7c,Employer 0003,Government,Public Sector,Large,Chicago,IL,USA,https://www.example3.com,https://www.linkedin.com/company/example-3,0,1,None,Bronze,Inactive,2025-08-10,Katherine Scott MD,Recruiter,contact3@example.com,+16862523997
4fd5a93b-3487-4cd6-8b68-d167b1664b4b,Employer 0004,Technology,Cloud/Software,Enterprise,San Jose,CA,USA,https://www.example4.com,https://www.linkedin.com/company/example-4,0,0,Mentorship,Gold,Active,2025-03-11,Richard Huerta,Recruiter,contact4@example.com,+12935132320
7f9c20be-e37e-4ed2-9e91-283083231109,Employer 0005,Education,University,Medium,Dallas,TX,USA,https://www.example5.com,https://www.linkedin.com/company/example-5,0,0,Academic,Silver,Prospect,2024-05-09,Andrea Reese,Recruiter,contact5@example.com,+13165265280
75324246-6f60-4d0c-82fd-440afef7e890,Employer 0006,Consulting,IT Services,Medium,Chicago,IL,USA,https://www.example6.com,https://www.linkedin.com/company/example-6,0,0,Sponsorship,Gold,Active,2024-01-03,Frank Fitzgerald,Recruiter,contact6@example.com,+15456164206
7a569a80-a946-41f8-9c09-42f26b70ad61,Employer 0007,Education,University,Enterprise,New York,NY,USA,https://www.example7.com,https://www.linkedin.com/company/example-7,0,1,Mentorship,Bronze,Prospect,2024-07-17,Daniel Cooper,Recruiter,contact7@example.com,+13526752727
47c76885-980f-4837-afd9-1f4181733bd2,Employer 0008,Education,University,Small,Dallas,TX,USA,https://www.example8.com,https://www.linkedin.com/company/example-8,0,0,Donor,Gold,Prospect,2025-02-25,Jamie Gordon,Recruiter,contact8@example.com,+12532882527
77bc613f-3e77-4b17-80b4-c1be6ddfcf45,Employer 0009,Technology,Cloud/Software,Large,St. Louis,MO,USA,https://www.example9.com,https://www.linkedin.com/company/example-9,0,0,Donor,Gold,Active,2023-09-17,Andrea Smith,Recruiter,contact9@example.com,+19532835856
616f488a-b8a0-4060-9440-4041b66d5e7f,Employer 0010,Retail,E-commerce,Medium,New York,NY,USA,https://www.example10.com,https://www.linkedin.com/company/example-10,0,0,Hiring,Silver,Prospect,2024-11-08,Craig Forbes,Recruiter,contact10@example.com,+14512723174
8f5a1648-c730-4dfc-bbb1-8e50ed74f87d,Employer 0011,Technology,Cloud/Software,Large,Dallas,TX,USA,https://www.example11.com,https://www.linkedin.com/company/example-11,0,0,Mentorship,Gold,Inactive,2023-12-23,Joshua Nichols,Recruiter,contact11@example.com,+12175562867
ec04ae88-cfb8-4fe6-bffe-7de5838d6ab1,Employer 0012,Government,Public Sector,Enterprise,New York,NY,USA,https://www.example12.com,https://www.linkedin.com/company/example-12,0,0,Academic,Gold,Prospect,2025-06-22,Michael Stewart,Recruiter,contact12@example.com,+15319129996
54b4353b-35e3-4159-9040-c1de493652de,Employer 0013,Consulting,IT Services,Large,Dallas,TX,USA,https://www.example13.com,https://www.linkedin.com/company/example-13,0,1,Mentorship,Gold,Active,2023-11-28,Ronnie Smith,Recruiter,contact13@example.com,+19293252197
f0a87652-2e3e-4268-9c89-8560f69834e5,Employer 0014,Finance,Banking,Enterprise,Seattle,WA,USA,https://www.example14.com,https://www.linkedin.com/company/example-14,0,0,Sponsorship,Gold,Prospect,2024-12-13,Carmen Shepherd,Recruiter,contact14@example.com,+13444898400
f93fcb4f-8052-43ce-9b83-c6b4cdbde4dc,Employer 0015,Retail,E-commerce,Enterprise,Chicago,IL,USA,https://www.example15.com,https://www.linkedin.com/company/example-15,0,0,Mentorship,Gold,Inactive,2023-07-30,Caitlin Barton,Recruiter,contact15@example.com,+18792997907
a1bdbc96-c467-41a5-9264-70213e70ba8b,Employer 0016,Healthcare,Provider,Large,Hyderabad,,India,https://www.example16.com,https://www.linkedin.com/company/example-16,0,0,Academic,Bronze,Active,2025-09-22,Bianca Munoz,Recruiter,contact16@example.com,+13745623246
3f1ba756-2eda-4079-ba72-6af2db719d48,Employer 0017,Finance,Banking,Medium,St. Louis,MO,USA,https://www.example17.com,https://www.linkedin.com/company/example-17,0,1,Hiring,Silver,Prospect,2024-12-20,Andrew Young,Recruiter,contact17@example.com,+12707332425
6c21b263-e632-4771-b1bd-7f406befeb51,Employer 0018,Government,Public Sector,Enterprise,Hyderabad,,India,https://www.example18.com,https://www.linkedin.com/company/example-18,0,0,None,Bronze,Inactive,2025-06-24,Michael Price,Recruiter,contact18@example.com,+15643764367
862242fe-4a88-4f3a-bef7-f30736976924,Employer 0019,Technology,Cloud/Software,Large,Seattle,WA,USA,https://www.example19.com,https://www.linkedin.com/company/example-19,0,0,Donor,Silver,Active,2025-02-18,Joanne Fowler,Recruiter,contact19@example.com,+19138223209
5c99099f-a967-465f-97ab-81492e30f617,Employer 0020,Education,University,Enterprise,Dallas,TX,USA,https://www.example20.com,https://www.linkedin.com/company/example-20,0,0,Academic,Gold,Active,2024-10-25,Jeremy Ibarra,Recruiter,contact20@example.com,+17792604510
